Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Chad Stahelski,T1,Peak (action franchise builder),,Action (stunt-driven),Thriller,$50M–$120M+,"Choreography-forward, clean mythic action",John Wick: Chapter 4 (2023); John Wick: Chapter 3 (2019); John Wick: Chapter 2 (2017),John Wick: Chapter 4,2023,Theatrical,Highlander,Announced / in development,3,Great for action lane matching; tends toward long prep for choreography.,"Action-heavy prep, stunt safety, extended unit work.",In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chad+Stahelski,https://www.imdb.com/find/?q=Chad+Stahelski&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:575217d31eb4f9d45cb2b075f88ffbf0af0e083d,,,,,,,,,,,,
Christopher McQuarrie,T1,Peak (action specialist),,High-end action / spy,Thriller,$150M–$400M,"Practical stunt spectacle, precision pacing",Mission: Impossible – The Final Reckoning (2025); Dead Reckoning (2023); Fallout (2018),Mission: Impossible – The Final Reckoning,2025,Theatrical,(TBA) likely action package(s),TBD,4,Elite action credibility; availability depends on next Cruise/Paramount commitments.,Complex stunts can extend schedules.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Christopher+McQuarrie,https://www.imdb.com/find/?q=Christopher+McQuarrie&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:13b41b31772c7eccb084b1d7fdab9ed7e76e05d9,,,,,,,,,,,,
David Fincher,T1,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Studio/Mid,"tense, precise",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Fincher,https://www.imdb.com/find/?q=David+Fincher&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6cc56cef3f006efafbc92f25b28dfe2498513331,,,,,,,,,,,,
David Leitch,T1,Hot (studio action-comedy),,Action-comedy,Thriller,$80M–$150M,"Stunts + humor, pop energy",The Fall Guy (2024); Bullet Train (2022); Hobbs & Shaw (2019),The Fall Guy,2024,Theatrical,How to Rob a Bank,In development,4,Good for action+comedy scripts; can attract major stars.,High stunt needs; can run parallel units.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Leitch,https://www.imdb.com/find/?q=David+Leitch&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:67772d970d4086f7f7fe05a70d524d3138fc86ef,,,,,,,,,,,,
Guillermo del Toro,T1,Established (auteur + studio),,Fantasy / gothic,"Drama, horror",$30M–$120M,"Gothic emotion, creature design",Frankenstein (2025); Pinocchio (2022); Nightmare Alley (2021),Frankenstein,2025,Streamer (Netflix),TBA,TBD,4,Strong for elevated genre and awards lane; streamer relationships matter.,Design-heavy; long preproduction.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Guillermo+del+Toro,https://www.imdb.com/find/?q=Guillermo+del+Toro&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5fbfc9bc324ab1a6e52884c978b4f67be9f39d0d,,,,,,,,,,,,
James Wan,T1,Established (franchise horror + superhero),,Horror / supernatural,Superhero action,$20M–$215M,"Tension craft, genre mechanics",Aquaman and the Lost Kingdom (2023); Malignant (2021); Aquaman (2018),Aquaman and the Lost Kingdom,2023,Theatrical,TBD (producer-heavy slate),TBD,3,Strong for horror lane; director availability uncertain.,Often producing multiple projects concurrently.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+Wan,https://www.imdb.com/find/?q=James+Wan&s=nm,https://www.the-numbers.com/person/148690401-James-Wan,The Numbers,Aquaman and the Lost Kingdom,"Dec 22, 2023",124481226,315700000,440181226,Malignant,"Sep 10, 2021",13391791,21500000,34891791,Aquaman,"Dec 21, 2018",335061807,813800000,1148861807,440181226,,,,MANUAL:1e1c6ac25373ade0a6cca75f9f5fb6a7634a44c7,,,,,,,,,,,,
Jordan Peele,T1,Selective (event horror auteur),,Social horror / thriller,Sci-fi,$10M–$70M,"High concept, uneasy humor, thematic metaphor",Nope (2022); Us (2019); Get Out (2017),Nope,2022,Theatrical,Untitled next feature (Universal) – release date removed,In development,4,High-value attachment for horror/thriller; scarcity increases leverage.,Typically original scripts with secrecy; controlled info flow.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jordan+Peele,https://www.imdb.com/find/?q=Jordan+Peele&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:12de220be6427cc982f576914e61b90414bc1f73,,,,,,,,,,,,
Joseph Kosinski,T1,Hot (premium commercial),,High-end commercial spectacle,Sci-fi,$150M–$300M,"Sleek realism, technical setpieces",F1 (2025); Top Gun: Maverick (2022); Oblivion (2013),F1 (F1: The Movie),2025,Theatrical,Untitled UFO conspiracy thriller (Apple),Package landed at Apple (announced),4,Strong for big-scale thrills; tends to require technical prep.,Complex production logistics; premium format pipelines.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joseph+Kosinski,https://www.imdb.com/find/?q=Joseph+Kosinski&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bfdc7b17d604991bac04d6f40f838456723c1bef,,,,,,,,,,,,
M. Night Shyamalan,T1,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Studio/Mid,"tense, precise",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=M.+Night+Shyamalan,https://www.imdb.com/find/?q=M.+Night+Shyamalan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:98ddd63f83d91adbb965a785758d46db1d44a33b,,,,,,,,,,,,
Patty Jenkins,T1,Established (big IP),,Superhero / action,Drama,$50M–$200M,"Earnest heroism, classical arcs",Wonder Woman 1984 (2020); Wonder Woman (2017); Monster (2003),Wonder Woman 1984,2020,Theatrical+HBO Max (pandemic),Rogue Squadron (status uncertain) / TBA,Reported / unconfirmed by Lucasfilm,3,Action/hero lane; next project status needs verification.,Big studio processes; schedule dependent on greenlight.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Patty+Jenkins,https://www.imdb.com/find/?q=Patty+Jenkins&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5537665398ac8ceef5784d77edd7489112e4abd6,,,,,,,,,,,,
Paul King,T1,Hot (family musical hit),,Family / comedy,Musical fantasy,$50M–$150M,"Warmth, whimsy, precision comedy",Wonka (2023); Paddington 2 (2017); Paddington (2014),Wonka,2023,Theatrical,Labubu (Sony),Early development (announced),4,Very strong for family lane; reliable tone control.,Family brand alignment important.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+King,https://www.imdb.com/find/?q=Paul+King&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9395e5bfad27768d35096efdcc2954db58c78a9c,,,,,,,,,,,,
Rian Johnson,T1,Established (franchise + original),,Mystery / thriller,Sci-fi,$40M–$150M,"Playful whodunnit mechanics, twisty",Wake Up Dead Man (2025); Glass Onion (2022); The Last Jedi (2017),Wake Up Dead Man,2025,Streamer (Netflix),TBA (post Netflix deal),TBD,4,Can package ensemble; strong with stars in mystery lane.,Schedules often flexible but dependent on streamer deals.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rian+Johnson,https://www.imdb.com/find/?q=Rian+Johnson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2c89f54c2242af1ac264517dcf1b8fec556b5dec,,,,,,,,,,,,
Ryan Coogler,T1,Peak (franchise + original),,Event genre + grounded drama,"Action, horror",$50M–$200M,"Emotional intensity, cultural specificity, spectacle",Sinners (2025); Black Panther: Wakanda Forever (2022); Black Panther (2018),Sinners,2025,Theatrical,Black Panther 3,Confirmed next film (announced),5,Can package A-list and move studio financing; strong original credibility post-Sinners.,Often multi-hyphen (writer/director/producer).,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ryan+Coogler,https://www.imdb.com/find/?q=Ryan+Coogler&s=nm,https://www.the-numbers.com/person/339010401-Ryan-Coogler,The Numbers,Sinners,"Apr 18, 2025",279989632,88399859,368389491,Black Panther: Wakanda Forever,"Nov 11, 2022",453829060,405379776,859208836,Black Panther,"Feb 16, 2018",700059566,634097516,1334157082,368389491,,,,MANUAL:8580da152d038251735142248699f7733dd84e68,,,,,,,,,,,,
Sam Mendes,T1,Established (prestige + franchise),,Prestige drama,Spy/action,$30M–$250M,"Classical craft, emotional restraint",Empire of Light (2022); 1917 (2019); Spectre (2015),Empire of Light,2022,Theatrical,The Beatles – A Four-Film Cinematic Event,Announced / in development,5,Massive multi-film commitment—practically unavailable.,Multi-film production planning; very long horizon.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sam+Mendes,https://www.imdb.com/find/?q=Sam+Mendes&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cc076d6214371b514f28691cad22d022ab7eb8a7,,,,,,,,,,,,
Steven Soderbergh,T1,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Studio/Mid,"tense, precise",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Steven+Soderbergh,https://www.imdb.com/find/?q=Steven+Soderbergh&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ffe1a3222e5837b8d1d28a80861d4ee08fff4ff8,,,,,,,,,,,,
Taika Waititi,T1,Established (genre + comedy),,Comedy/drama with heart,Fantasy/sci-fi,$10M–$250M,Quirky humor + emotion,Next Goal Wins (2023); Thor: Love and Thunder (2022); Jojo Rabbit (2019),Next Goal Wins,2023,Theatrical,Klara and the Sun,Announced,3,Strong tone fit for offbeat/heart; can be polarizing commercially.,Comedic improvisation can add takes/time.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Taika+Waititi,https://www.imdb.com/find/?q=Taika+Waititi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:623b41fda380e4a32e9234724d6f6132fabe34b8,,,,,,,,,,,,
Adam McKay,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Adam+McKay,https://www.imdb.com/find/?q=Adam+McKay&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c40572e762cda17d5d79c5cf844804e760114e03,,,,,,,,,,,,
Alex Garland,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Alex+Garland,https://www.imdb.com/find/?q=Alex+Garland&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cadd5cb31b8963b06526966999e87bc834ec1006,,,,,,,,,,,,
Alexander Payne,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Alexander+Payne,https://www.imdb.com/find/?q=Alexander+Payne&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:4ec4e384fe9830bcb302c56e32dfc06e086ee4d3,,,,,,,,,,,,
Alexandre Aja,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Alexandre+Aja,https://www.imdb.com/find/?q=Alexandre+Aja&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:dbf0776c8ee38036bfa9abcce33b5dfe7afe8e3d,,,,,,,,,,,,
Andrew Adamson,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Andrew+Adamson,https://www.imdb.com/find/?q=Andrew+Adamson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d6b6fc9723b0ee8d616e43f5d586ea5f3d4ea444,,,,,,,,,,,,
Andrew Haigh,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Andrew+Haigh,https://www.imdb.com/find/?q=Andrew+Haigh&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0bac74ba72c90fb7b5877c41abea85b4e11e110f,,,,,,,,,,,,
Andy Muschietti,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Andy+Muschietti,https://www.imdb.com/find/?q=Andy+Muschietti&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:693cd4fc4478f20213f097c606fe60759f7d02fc,,,,,,,,,,,,
Ang Lee,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ang+Lee,https://www.imdb.com/find/?q=Ang+Lee&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e23367519fa7360fa8933de08e032552a227a06f,,,,,,,,,,,,
Antoine Fuqua,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Antoine+Fuqua,https://www.imdb.com/find/?q=Antoine+Fuqua&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:244bc7dadc05eaf971ef4e69b55354f79f483c0e,,,,,,,,,,,,
Ari Aster,T2,Hot (auteur to studio),,Elevated horror,"Dark comedy, drama",$10M–$60M,"Anxiety, dread, surreal humor",Eddington (2025); Beau Is Afraid (2023); Midsommar (2019),Eddington,2025,Theatrical (limited),TBA,TBD,4,Strong tone setter; actor interest high but commercially variable.,Can push into longer shoots for complex tone work.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ari+Aster,https://www.imdb.com/find/?q=Ari+Aster&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1de9b9be7183acacacd5e19a944b7640c6eed9f6,,,,,,,,,,,,
Armando Iannucci,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Armando+Iannucci,https://www.imdb.com/find/?q=Armando+Iannucci&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:55a3f3b1227c82eca4c3ed4081135e4f8b7f7a70,,,,,,,,,,,,
Asghar Farhadi,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Asghar+Farhadi,https://www.imdb.com/find/?q=Asghar+Farhadi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:53c7a00e38d8cd30625ab96657e19cad5681a2de,,,,,,,,,,,,
Ava DuVernay,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ava+DuVernay,https://www.imdb.com/find/?q=Ava+DuVernay&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:de654b42ac0c928963ec5fa320a0e1a8cbf17dd8,,,,,,,,,,,,
Baltasar Kormákur,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Baltasar+Korm%C3%A1kur,https://www.imdb.com/find/?q=Baltasar+Korm%C3%A1kur&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a9102fdcc13cadafeaaaab691d2854da41ad85c9,,,,,,,,,,,,
Bille August,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Bille+August,https://www.imdb.com/find/?q=Bille+August&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d8def3efa881a78e53e6517b7f5f462f5bab7cac,,,,,,,,,,,,
Brad Bird,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brad+Bird,https://www.imdb.com/find/?q=Brad+Bird&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:fa41a8456501ad6fa0a809c5da06ee78cd9de1ea,,,,,,,,,,,,
Byron Howard,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Byron+Howard,https://www.imdb.com/find/?q=Byron+Howard&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:58a29f3dd2ec4907f64daebc1e3b70416ddd75d3,,,,,,,,,,,,
Chloé Zhao,T2,Prestige (selective),,Intimate drama,Historical,$10M–$60M,"Naturalism, lyricism",Hamnet (2025); Eternals (2021); Nomadland (2020),Hamnet,2025,Theatrical,TBA,TBD,3,Strong awards lane attachment; not a commercial genre lever.,Often location/available-light oriented.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chlo%C3%A9+Zhao,https://www.imdb.com/find/?q=Chlo%C3%A9+Zhao&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:86e74e00b2775608ba60d967e27e156a59ce6919,,,,,,,,,,,,
Chris Buck,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chris+Buck,https://www.imdb.com/find/?q=Chris+Buck&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6f49055cea7b5991a61c72cf90935049019a4cd8,,,,,,,,,,,,
Chris Columbus,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chris+Columbus,https://www.imdb.com/find/?q=Chris+Columbus&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7d37924da2093a4ef3d5170008f30c05cdb64db0,,,,,,,,,,,,
